,id,y_Ligard
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,10,0
11,11,0
12,12,0
13,13,0
14,14,0
15,15,0
16,16,0
17,17,0
18,18,0
19,19,0
20,20,0
21,21,0
22,22,0
23,23,0
24,24,0
25,25,0
26,26,0
27,27,0
28,28,0
29,29,0
30,30,0
31,31,0
32,32,0
33,33,0
34,34,0
35,35,0
36,36,1
37,37,0
38,38,0
39,39,0
40,40,0
41,41,1
42,42,0
43,43,0
44,44,0
45,45,0
46,46,0
47,47,1
48,48,0
49,49,1
50,50,1
51,51,0
52,52,1
53,53,0
54,54,1
55,55,0
56,56,1
57,57,1
58,58,1
59,59,1
60,60,1
61,61,1
62,62,0
63,63,1
64,64,0
65,65,1
66,66,0
67,67,1
68,68,1
69,69,1
70,70,1
71,71,1
72,72,1
73,73,1
74,74,1
75,75,1
76,76,1
77,77,1
78,78,1
79,79,1
80,80,1
81,81,1
82,82,1
83,83,0
84,84,0
85,85,1
86,86,1
87,87,1
88,88,1
89,89,1
90,90,1
91,91,1
92,92,1
93,93,1
94,94,1
95,95,1
96,96,1
97,97,1
98,98,1
99,99,1
100,100,1
101,101,0
102,102,0
103,103,1
104,104,0
105,105,1
106,106,1
107,107,1
108,108,1
109,109,1
110,110,0
111,111,1
112,112,0
113,113,0
114,114,0
115,115,1
116,116,0
117,117,1
118,118,0
119,119,1
120,120,1
121,121,1
122,122,1
123,123,1
124,124,1
125,125,1
126,126,1
127,127,1
128,128,1
129,129,1
130,130,1
131,131,1
132,132,1
133,133,0
134,134,1
135,135,1
136,136,1
137,137,0
138,138,1
139,139,0
140,140,0
141,141,0
142,142,0
143,143,0
144,144,1
145,145,0
146,146,0
147,147,0
148,148,1
149,149,0
150,150,1
151,151,1
152,152,1
153,153,1
154,154,1
155,155,1
156,156,1
157,157,1
158,158,1
159,159,1
160,160,0
161,161,0
162,162,0
163,163,1
164,164,1
165,165,0
166,166,1
167,167,0
168,168,1
169,169,0
170,170,0
171,171,1
172,172,0
173,173,0
174,174,1
175,175,0
176,176,1
177,177,1
178,178,1
179,179,0
180,180,1
181,181,1
182,182,1
183,183,1
184,184,1
185,185,1
186,186,1
187,187,1
188,188,1
189,189,1
190,190,1
191,191,1
192,192,1
193,193,0
194,194,1
195,195,1
196,196,1
197,197,1
198,198,1
199,199,1
200,200,1
201,201,1
202,202,1
203,203,1
204,204,1
205,205,0
206,206,1
207,207,1
208,208,0
209,209,0
210,210,1
211,211,1
212,212,0
213,213,1
214,214,1
215,215,1
216,216,1
217,217,0
218,218,1
219,219,1
220,220,1
221,221,1
222,222,1
223,223,1
224,224,1
225,225,1
226,226,0
227,227,1
228,228,1
229,229,1
230,230,1
231,231,1
232,232,1
233,233,1
234,234,1
235,235,1
236,236,1
237,237,0
238,238,1
239,239,0
240,240,0
241,241,0
242,242,0
243,243,0
244,244,0
245,245,0
246,246,0
247,247,0
248,248,1
249,249,0
250,250,1
251,251,0
252,252,1
253,253,1
254,254,0
255,255,0
256,256,1
257,257,0
258,258,0
259,259,0
260,260,1
261,261,1
262,262,1
263,263,0
264,264,0
265,265,0
266,266,0
267,267,1
268,268,0
269,269,1
270,270,1
271,271,1
272,272,1
273,273,1
274,274,1
275,275,1
276,276,1
277,277,1
278,278,1
279,279,1
280,280,0
281,281,1
282,282,0
283,283,1
284,284,1
285,285,1
286,286,1
287,287,1
288,288,1
289,289,1
290,290,1
291,291,1
292,292,1
293,293,1
294,294,1
295,295,1
296,296,1
297,297,1
298,298,1
299,299,1
300,300,1
301,301,1
302,302,1
303,303,1
304,304,1
305,305,1
306,306,1
307,307,1
308,308,1
309,309,1
310,310,1
311,311,1
312,312,1
313,313,1
314,314,1
315,315,1
316,316,0
317,317,0
318,318,1
319,319,1
320,320,1
321,321,1
322,322,0
323,323,1
324,324,1
325,325,1
326,326,1
327,327,1
328,328,1
329,329,1
330,330,1
331,331,1
332,332,1
333,333,1
334,334,0
335,335,0
336,336,1
337,337,1
338,338,1
339,339,1
340,340,1
341,341,1
342,342,1
343,343,1
344,344,1
345,345,1
346,346,1
347,347,1
348,348,1
349,349,0
350,350,1
351,351,1
352,352,1
353,353,1
354,354,1
355,355,1
356,356,1
357,357,1
358,358,1
359,359,1
360,360,1
361,361,0
362,362,1
363,363,1
364,364,1
365,365,1
366,366,1
367,367,1
368,368,1
369,369,0
370,370,1
371,371,1
372,372,1
373,373,1
374,374,1
375,375,1
376,376,1
377,377,1
378,378,1
379,379,1
380,380,1
381,381,1
382,382,1
383,383,1
384,384,0
385,385,1
386,386,1
387,387,1
388,388,1
389,389,1
390,390,1
391,391,1
392,392,1
393,393,1
394,394,1
395,395,1
396,396,0
397,397,1
398,398,1
399,399,1
400,400,1
401,401,1
402,402,1
403,403,0
404,404,1
405,405,1
406,406,1
407,407,1
408,408,1
409,409,1
410,410,1
411,411,1
412,412,1
413,413,1
414,414,1
415,415,1
416,416,1
417,417,1
418,418,1
419,419,1
420,420,0
421,421,0
422,422,1
423,423,1
424,424,1
425,425,1
426,426,0
427,427,1
428,428,1
429,429,1
430,430,1
431,431,0
432,432,1
433,433,1
434,434,0
435,435,1
436,436,1
437,437,0
438,438,1
439,439,1
440,440,1
441,441,0
442,442,0
443,443,1
444,444,1
445,445,1
446,446,1
447,447,1
448,448,1
449,449,1
450,450,1
451,451,1
452,452,1
453,453,1
454,454,1
455,455,1
456,456,1
457,457,1
458,458,1
459,459,1
460,460,1
461,461,1
462,462,0
463,463,1
464,464,1
465,465,1
466,466,1
467,467,1
468,468,0
469,469,0
470,470,1
471,471,1
472,472,1
473,473,1
474,474,1
475,475,1
476,476,0
477,477,0
478,478,0
479,479,1
480,480,0
481,481,1
482,482,0
483,483,0
484,484,1
485,485,1
486,486,1
487,487,0
488,488,1
489,489,1
490,490,1
491,491,1
492,492,1
493,493,1
494,494,1
495,495,0
496,496,1
497,497,0
498,498,1
499,499,0
500,500,1
501,501,1
502,502,1
503,503,1
504,504,1
505,505,1
506,506,1
507,507,1
508,508,1
509,509,1
510,510,1
511,511,0
512,512,1
513,513,1
514,514,1
515,515,1
516,516,1
517,517,1
518,518,1
519,519,1
520,520,1
521,521,1
522,522,1
523,523,1
524,524,1
525,525,0
526,526,1
527,527,0
528,528,1
529,529,1
530,530,1
531,531,1
532,532,1
533,533,1
534,534,1
535,535,1
536,536,1
537,537,1
538,538,1
539,539,1
540,540,1
541,541,1
542,542,0
543,543,1
544,544,1
545,545,0
546,546,1
547,547,1
548,548,1
549,549,0
550,550,1
551,551,1
552,552,1
553,553,1
554,554,1
555,555,1
556,556,1
557,557,1
558,558,1
559,559,0
560,560,1
561,561,1
562,562,0
563,563,1
564,564,0
565,565,0
566,566,1
567,567,0
568,568,1
569,569,1
570,570,1
571,571,0
572,572,1
573,573,1
574,574,1
575,575,1
576,576,1
577,577,1
578,578,0
579,579,1
580,580,1
581,581,1
582,582,1
583,583,0
584,584,1
585,585,1
586,586,0
587,587,1
588,588,1
589,589,1
590,590,1
591,591,1
592,592,1
593,593,0
594,594,0
595,595,0
596,596,0
597,597,0
598,598,1
599,599,1
600,600,0
601,601,1
602,602,1
603,603,1
604,604,1
605,605,1
606,606,1
607,607,1
608,608,1
609,609,1
610,610,1
611,611,1
612,612,1
613,613,0
614,614,1
615,615,1
616,616,1
617,617,1
618,618,1
619,619,1
620,620,1
621,621,1
622,622,1
623,623,1
624,624,1
625,625,1
626,626,1
627,627,1
628,628,1
629,629,1
630,630,0
631,631,0
632,632,0
633,633,1
634,634,1
635,635,1
636,636,1
637,637,1
638,638,0
